arm,round_budget,payloads_bypassed,payload_denominator,payload_bypass_coverage
v1,1,0,5,0.0000000000
v1,2,0,5,0.0000000000
v1,3,0,5,0.0000000000
v1,4,1,5,0.2000000000
v1,5,1,5,0.2000000000
v2a,1,0,5,0.0000000000
v2a,2,0,5,0.0000000000
v2a,3,0,5,0.0000000000
v2a,4,0,5,0.0000000000
v2a,5,0,5,0.0000000000
v2a,6,0,5,0.0000000000
v2a,7,0,5,0.0000000000
v2a,8,0,5,0.0000000000
v2a,9,1,5,0.2000000000
v2a,10,1,5,0.2000000000
v2a,11,1,5,0.2000000000
v2a,12,1,5,0.2000000000
v2a,13,1,5,0.2000000000
v2a,14,1,5,0.2000000000
v2a,15,1,5,0.2000000000
v2a,16,1,5,0.2000000000
v2a,17,1,5,0.2000000000
v2a,18,1,5,0.2000000000
v2a,19,1,5,0.2000000000
v2a,20,1,5,0.2000000000
v2b,1,1,5,0.2000000000
v2b,2,1,5,0.2000000000
v2b,3,1,5,0.2000000000
v2b,4,2,5,0.4000000000
v2b,5,2,5,0.4000000000
v2b,6,2,5,0.4000000000
v2b,7,2,5,0.4000000000
v2b,8,2,5,0.4000000000
v2b,9,4,5,0.8000000000
v2b,10,5,5,1.0000000000
v2b,11,5,5,1.0000000000
v2b,12,5,5,1.0000000000
v2b,13,5,5,1.0000000000
v2b,14,5,5,1.0000000000
v2b,15,5,5,1.0000000000
v2b,16,5,5,1.0000000000
v2b,17,5,5,1.0000000000
v2b,18,5,5,1.0000000000
v2b,19,5,5,1.0000000000
v2b,20,5,5,1.0000000000
